State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1989,4.49,4.31,6.51,4.43,4.54,10.94,7.76,2.44,4.8,3.03,6.06,5.89
Alabama,1990,8.44,8.57,8.96,3.39,4.95,2.93,3.75,1.92,1.9,2.66,2.94,6.46
Alabama,1991,7.33,5.22,7.05,6.85,9.57,4.95,4.46,3.93,3.27,0.91,4.37,5.34
Alabama,1992,6.12,5.99,4.03,2.91,1.95,5.44,6.07,5.87,3.61,2.59,9.48,5.73
Alabama,1993,6.21,3.72,6.59,3.26,3.8,3.39,2.88,4.72,3.83,3.71,3.88,4.29
Alabama,1994,5.31,5.08,7.25,4.4,3.2,7,9.43,2.91,3.61,4.97,3.5,3.67
Alabama,1995,4.83,5.65,5.42,5.07,3.32,3.36,3.87,4.79,3.09,9.3,5.8,5.07
Alabama,1996,7.4,4.07,8.45,4.65,2.56,3.38,6.63,4.7,5.71,2.38,3.46,4.94
Alabama,1997,6.47,6.16,3.87,6.03,5.39,7.91,5.33,2.88,3.3,5.1,5.7,4.82
Alabama,1998,8.14,7.29,6.2,5.39,2.28,3.22,6.07,3.44,8.29,1.37,3.3,4.27
Alabama,1999,7.94,2.55,5.65,2.57,4.11,8.31,4.63,2.02,1.91,3.39,2.61,3.32
Alabama,2000,4.69,1.99,5.05,4.83,1.32,3.71,2.26,2.36,3.49,0.8,7.7,4.29
Alabama,2001,4.69,4.11,10.11,3.88,4.03,7.15,3.95,5.48,4.8,3.27,3.43,4.14
Alabama,2002,5.11,2.99,5.79,2.19,4.09,3.77,5.38,3.24,7.57,5.58,4.88,6.54
Alabama,2003,2.33,6.76,4.67,6.41,8.49,8.17,7.74,5.7,3.7,1.61,4.67,3.47
Alabama,2004,3.27,7.06,2.28,3.37,4,7.53,4.43,4.48,6.63,3.87,8.12,4.84
Alabama,2005,2.86,4.96,5.85,7.6,2.8,6.37,9.19,6.01,3.29,0.61,3.59,3.95
Alabama,2006,5.23,5.05,2.97,3.07,4.41,2.01,3.33,3.91,3.53,5.13,4.84,4.06
Alabama,2007,4.34,2.64,1.56,3.91,0.73,2.78,5.2,2.67,3.11,3.92,2.75,4.25
Alabama,2008,4.09,5.79,4.01,4.53,4.43,2.69,4.04,8.89,1.65,3.02,3.15,6.78
Alabama,2009,4.42,3.85,8.98,4.45,8.51,2.71,5.59,5.49,7.57,7.18,4.39,10.63
Alabama,2010,6.21,4.22,5.07,2.82,6.15,3.26,3.5,4.83,1.61,2.59,4.73,2.2
Alabama,2011,4.03,3.49,8.18,5.08,1.64,3.55,5.52,2.05,7.21,0.79,4.13,5.04
Alabama,2012,5.44,4.49,5.35,1.89,4.16,4,5.75,6.07,5.35,2.91,1.36,6.61
Alabama,2013,6.27,8.86,3.83,5.71,4,5.81,8.7,5.5,3.2,1.47,3.42,7.93
Alabama,2014,2.7,5.75,5.57,9.67,4.27,5.23,3.36,3.25,2.51,4.38,2.98,6.36
Alabama,2015,4.34,4.05,4.28,7.14,4.32,3.27,4.71,4.94,2.71,2.93,6.8,11.87
Alabama,2016,4.06,5.85,5.42,5.68,2.14,3.81,4.27,4.58,1.72,0.13,2.3,5.05
Alabama,2017,9.17,3.7,4.17,4.09,7.01,10.7,5.06,6.07,3.25,6.03,1.05,3.89
Alabama,2018,2.32,7.27,4.14,5.94,5.54,4.55,4.46,5.02,6.2,2.69,6.27,9.95
Arizona,1989,1.49,0.34,0.77,0.01,0.24,0.03,1.57,1.61,0.24,0.94,0.05,0.38
Arizona,1990,0.96,1.07,0.73,0.69,0.4,0.28,2.93,2.3,2.08,0.48,0.8,1.36
Arizona,1991,1.12,0.89,3.07,0.01,0.08,0.31,0.9,1.62,1.12,0.59,1.22,1.98
Arizona,1992,1.32,1.93,2.91,0.36,1.64,0.21,1.72,3.25,0.53,0.91,0.14,3.23
Arizona,1993,5.22,3.17,1.15,0.05,0.41,0.14,0.35,2.88,0.35,1.24,1.52,0.29
Arizona,1994,0.23,1.24,1.24,0.61,0.59,0.23,0.94,1.62,1.4,0.92,1.33,2.1
Arizona,1995,2.43,1.47,1.52,0.63,0.43,0.13,0.6,1.98,1.3,0.08,0.58,0.29
Arizona,1996,0.2,1.08,0.37,0.06,0.09,0.26,1.7,1.39,1.86,0.75,0.79,0.19
Arizona,1997,1.89,0.91,0.11,0.76,0.37,0.25,0.82,2.26,2.18,0.7,0.59,1.87
Arizona,1998,0.55,3.06,1.9,0.63,0.26,0.07,2.35,1.6,1.44,1.26,0.93,0.39
Arizona,1999,0.14,0.36,0.19,1.37,0.17,0.36,3.39,2.55,1.8,0,0,0.04
Arizona,2000,0.28,0.59,1.73,0.11,0.02,0.73,0.53,2.45,0.19,3.54,0.84,0.12
Arizona,2001,1.7,1,1.04,0.97,0.37,0.24,1.5,2.04,0.39,0.43,0.29,0.82
Arizona,2002,0.19,0.1,0.22,0.18,0.01,0.01,1.31,0.87,1.88,0.7,0.64,0.86
Arizona,2003,0.32,2.44,1.07,0.29,0.1,0.05,1.25,1.8,1.09,0.41,1.15,0.54
Arizona,2004,0.71,1.07,0.75,1.32,0.01,0.09,1.14,1.48,1.58,1.95,1.76,1.66
Arizona,2005,2.83,3.35,0.86,0.7,0.22,0.21,1.05,2.43,0.42,0.92,0.06,0.04
Arizona,2006,0.13,0.04,1.41,0.24,0.05,0.34,2.49,2.02,1.42,1.18,0.07,0.37
Arizona,2007,0.79,0.56,0.83,0.24,0.3,0.12,2.27,1.87,0.98,0.15,0.6,2.28
Arizona,2008,1.99,1.19,0.07,0.02,0.65,0.15,2.25,2.31,0.62,0.28,0.89,1.89
Arizona,2009,0.52,1.02,0.17,0.29,0.74,0.34,1.09,0.66,0.69,0.15,0.15,1.21
Arizona,2010,3.41,1.44,1.03,0.27,0.06,0.08,1.97,1.84,0.6,1.35,0.19,1.67
Arizona,2011,0.05,1.05,0.33,0.41,0.28,0.02,1.76,1.28,1.31,0.67,0.92,1.55
Arizona,2012,0.26,0.43,0.69,0.32,0.05,0.08,2.52,2.22,1.07,0.25,0.21,1.46
Arizona,2013,1.3,0.51,0.57,0.2,0.06,0.03,2.68,2.39,1.88,0.21,1.86,0.44
Arizona,2014,0.03,0.16,0.9,0.24,0.07,0.01,1.86,3.13,2.49,0.6,0.11,1.47
Arizona,2015,1.79,0.64,1.12,0.42,1,0.8,1.91,2.1,1.37,1.88,0.76,0.6
Arizona,2016,1.4,0.29,0.11,0.8,0.52,0.43,1.39,2.57,1.35,0.35,0.94,2.13
Arizona,2017,2.07,1.26,0.41,0.19,0.41,0.06,2.89,1.39,0.61,0.03,0.02,0.13
Arizona,2018,0.56,1.07,0.44,0.04,0.15,0.33,2.59,2,0.81,2.7,0.27,0.72
Arkansas,1989,4.57,8.57,5.89,2.09,6.51,6.73,6.76,1.85,3.49,1.34,1.74,1.81
Arkansas,1990,6.27,6.93,8.9,6.14,9.53,2.71,2.32,2.32,3.99,6.75,3.77,7.28
Arkansas,1991,4.59,3.74,3.65,12.28,5.57,2.84,3.17,3.69,3.46,7.21,5.16,6.16
Arkansas,1992,2.42,3.28,5.24,2.61,3.38,6.95,5.49,2.68,4.39,1.59,5.4,4.83
Arkansas,1993,4.77,2.97,3.32,5.96,5.11,4.12,1.4,3.6,5.14,5.53,5.42,4.7
Arkansas,1994,5.44,3.87,5.16,4.25,3.97,4.06,6.59,3.1,2.2,3.88,7.14,4.73
Arkansas,1995,5.08,2.05,3.47,6.03,4.9,3.67,4.22,1.24,2.63,2.39,2.82,4.34
Arkansas,1996,2.81,1.63,3.64,4.52,3.85,4.34,5.44,3.02,6.09,3.99,8.89,3.53
Arkansas,1997,2.93,6.02,6.15,7.72,3.92,5.07,1.99,3.17,2.9,4.52,3.47,4.07
