"State","Year","WetDollars","WetAcres","n","DryDollars","DryAcres","n"
"CT",2001,1876225,460.5,9,346242,1727.97,17
"CT",2002,513370,160.64,5,615380,1813.79,16
"CT",2003,3425898,3190.92,46,6946,79.3,
"CT",2004,144433,186.66,12,10868,0,
"CT",2005,887793.93,432,14,117876.33,1990,18
"CT",2006,4668106.5,5275,51,0,0,
"CT",2007,2486.25,23,2,577048.3,427,10
"CT",2008,3530411.35,1899,15,0,0,
"CT",2009,11207749.8,5238,46,0,0,
"CT",2010,97030.6,15,2,1575222.55,839,15
"CT",2011,2896617.08,3803,60,29086.1,132,6
"CT",2012,123469,105,3,264203.35,83,6
"CT",2013,1925765.05,2425.3825,32,0,0,
"CT",2014,164686.4,228.68,12,10857.6,40,3
"CT",2015,81716.2,22.95,3,70305,162.075,10
"CT",2016,8432.45,4.165,2,956119.7,1499.3,21
"CT",2017,182368.9,527.64,8,0,0,
"CT",2018,404101.08,185.4,12,3872,22.95,2
"DE",2001,220733,3395.82,25,54123,1704.89,15
"DE",2002,55287,2151.09,14,5895083,90054.6,29
"DE",2003,3591081,50287.6,77,0,0,
"DE",2004,229770,4693.88,27,484390,7576.72,18
"DE",2005,245519.09,5902,39,2277498.17,52927,21
"DE",2006,210141.35,3632,30,1174255.65,26857,25
"DE",2007,48914.2,945,13,16033000.1,118795,35
"DE",2008,442688.94,6077,22,11302264.8,87963,36
"DE",2009,2200725.31,24033,45,84982.88,1050,9
"DE",2010,1505118.54,15927,38,6349709.6,58324,34
"DE",2011,92191.66,717,19,7647411.46,48001,41
"DE",2012,31006,235,7,12748506.65,51935,38
"DE",2013,6828377.76,45503.7358,72,91939.5,1029.375,7
"DE",2014,545822.07,5126.39944,39,127412.87,1589.0524,8
"DE",2015,632232.93,7646.8201,47,1256306.71,16731.3849,20
"DE",2016,1152957.6,16122.6699,47,1619866.69,24882.4374,16
"DE",2017,491686.71,8114.6426,36,127535.35,1141.2775,10
"DE",2018,5126017.93,52033.99978,60,960634.37,9221.79423,20
"MA",2001,262427,330.1,12,455567,1420.25,16
"MA",2002,9496,121.37,4,644262,3386.36,36
"MA",2003,1701781,2833.26,53,974,6.33,2
"MA",2004,360349,1002.77,25,0,0,
"MA",2005,1288120.56,1814,31,198006.26,1595,19
"MA",2006,675895,2582,45,5129,106,
"MA",2007,116660.05,188,9,607321.75,822,17
"MA",2008,1462640.5,769,24,0,0,
"MA",2009,3327194.95,5197,51,0,0,
"MA",2010,528526.4,254,8,1595112.1,1564,18
"MA",2011,779518.47,2062,36,109533.85,193,8
"MA",2012,26222.07,67,7,551467.26,1285,21
"MA",2013,1896944.06,3040.739,44,65746,58.45,3
"MA",2014,952270.31,953.198,19,54127.4,107.6,7
"MA",2015,309579.9,556.79,10,181888.48,325.58,11
"MA",2016,40238.78,35.755,4,1762135.26,3719.4949,40
"MA",2017,654229.5,1003.815,23,137611.15,210.555,2
"MA",2018,389176.4,456.35,18,33033.5,72.35,8
"MD",2001,661702,5710.3,58,2767316,39377.46,100
"MD",2002,89521,1768.21,27,21805680,327074.95,185
"MD",2003,10594756,140332.29,355,9571,190.8,3
"MD",2004,1334499,16533.1,159,244159,3904.29,30
"MD",2005,693758.35,15468,117,3248508.81,71499,109
"MD",2006,972486.58,16536,121,3232848.95,59745,117
"MD",2007,368855.85,4262,51,33874272.89,299110,217
"MD",2008,1164258.1,21037,98,21458982.22,167484,157
"MD",2009,5588540.06,65742,298,711037.75,6632,76
"MD",2010,2403283.31,29696,149,29264503.96,210994,221
"MD",2011,1027565.58,8800,93,24009766.05,161247,207
"MD",2012,1331010.4,9104,71,21617892.58,108360,176
"MD",2013,8758179.19,68992.20105,268,1094711.28,9398.176,62
"MD",2014,1790625.85,20392.628,202,1003128.85,10244.488,65
"MD",2015,2932466.3,32888.6563,218,2557920.69,34615.1386,100
"MD",2016,3324603.85,44789.2603,201,4712034.21,49428.4295,97
"MD",2017,2064272.29,21819.3837,163,536959.29,6204.5455,50
"MD",2018,13573956.01,150434.918,296,991298.98,11437.93405,41
"ME",2001,0,0,0,925079,3706.6,16
