State, Year, Drought$, Wet$, Droughtprop, wetprop
 1 , 1989 , 4650119 , 8551785 , 3.070387E-02 , 5.646584E-02 
 1 , 1990 , 6.134842E+07 , 854555 , .3552655 , 4.948684E-03 
 1 , 1991 , 3236244 , 9059770 , 1.703111E-02 , 4.767811E-02 
 1 , 1992 , 1251715 , 4457475 , 7.079996E-03 , 2.521253E-02 
 1 , 1993 , 2.429629E+07 , 298907 , .1383559 , 1.702134E-03 
 1 , 1994 , 354212 , 1.629306E+07 , 1.999125E-03 , 9.195585E-02 
 1 , 1995 , 2.16396E+07 , 913530 , 8.548114E-02 , 3.608643E-03 
 1 , 1996 , 1.102607E+07 , 3165735 , 4.553882E-02 , 1.307482E-02 
 1 , 1997 , 2.001406E+07 , 2.184528E+07 , 8.243336E-02 , 8.997573E-02 
 1 , 1998 , 2.540108E+07 , 5817255 , .1019798 , 2.335501E-02 
 1 , 1999 , 2.626982E+07 , 3583925 , 9.726642E-02 , 1.326981E-02 
 1 , 2000 , 7.290454E+07 , 316444 , .2903806 , 1.260404E-03 
 1 , 2001 , 1.398582E+07 , 3326760 , 5.121593E-02 , 1.218256E-02 
 1 , 2002 , 1.524051E+07 , 2.711191E+07 , .0757918 , .1348288 
 1 , 2003 , 256399 , 1.679695E+07 , 1.281208E-03 , 8.393317E-02 
 1 , 2004 , 3191545 , 8512847 , 1.351761E-02 , 3.605568E-02 
 1 , 2005 , 2575971 , 6914470 , 1.212312E-02 , .0325411 
 1 , 2006 , 4.162906E+07 , 583521.3 , .1840479 , 2.579829E-03 
 1 , 2007 , 4.714449E+07 , 69921.4 , .1872271 , 2.776821E-04 
 1 , 2008 , 1.883238E+07 , 1015863 , 5.394069E-02 , 2.909688E-03 
 1 , 2009 , 4041685 , 2.256081E+07 , 1.307711E-02 , 7.299683E-02 
 1 , 2010 , 4.001237E+07 , 2893239 , .1242341 , 8.983195E-03 
 1 , 2011 , 4.680478E+07 , 564356.3 , 8.948413E-02 , 1.07897E-03 
 1 , 2012 , 1.955794E+07 , 6496997 , 3.811194E-02 , 1.266049E-02 
 1 , 2013 , 506453.9 , 2.754318E+07 , 9.861174E-04 , 5.362938E-02 
 1 , 2014 , 2.401053E+07 , 6797085 , 4.975512E-02 , 1.408506E-02 
 1 , 2015 , 1.212134E+07 , 2.096104E+07 , 2.710715E-02 , 4.687552E-02 
 1 , 2016 , 2.769018E+07 , 4269285 , .0628216 , 9.685865E-03 
 1 , 2017 , 8219972 , 1.939146E+07 , 1.624519E-02 , 3.832349E-02 
 1 , 2018 , 802904.8 , 7193954 , 1.577121E-03 , 1.413086E-02 
