Year,month,StateCollege_PRCP,Lebanon_PRCP,Selinsgrove_PRCP
2000,1,3.7,7.95,4.63
2000,2,7.3,5.86,7.29
2000,3,5.89,15.66,11.51
2000,4,10.22,8.58,11.34
2000,5,NA,11.25,9.12
2000,6,10.53,17.62,17.54
2000,7,3.1,10.15,3.68
2000,8,8.73,5.07,15.26
2000,9,5.08,11.25,9.31
2000,10,7.06,2.89,7.29
2000,11,4.74,4.91,3.44
2000,12,5.77,9.83,8.59
2001,1,3.39,6.69,3.71
2001,2,1.87,4.08,2.85
2001,3,10.7,8.51,12.1
2001,4,6.75,6.93,5.65
2001,5,3.51,9.61,4.78
2001,6,12.76,6.79,16.53
2001,7,6.12,9.18,4.4
2001,8,9.88,10.02,2.5
2001,9,7.89,6.67,16.41
2001,10,4.15,2.18,2.77
2001,11,3.92,3.45,3.2
2001,12,6.17,5.93,6.28
2002,1,4.26,5.79,4.52
2002,2,3.03,0.91,2.44
2002,3,10.17,11.54,7.28
2002,4,7.04,11.93,9.16
2002,5,16.43,13.19,12.81
2002,6,19.73,11.23,11.96
2002,7,2.76,4.48,3.87
2002,8,6.35,5.57,2.72
2002,9,8.51,9.71,13.24
2002,10,14.11,15.57,16.43
2002,11,7.3,10.05,8.51
2002,12,8.33,11.77,9.68
2003,1,5.99,5.69,5.49
2003,2,9.94,10.84,8.65
2003,3,8.02,9.24,8.3
2003,4,6.9,7.93,7.93
2003,5,9.29,13.51,7.92
2003,6,13.53,20.26,12.89
2003,7,13.74,13.54,15.73
2003,8,23.11,15.03,16.85
2003,9,18.32,12.71,13.29
2003,10,7.86,13.45,12.85
2003,11,11.68,9.82,9.66
2003,12,10.85,9.31,11.34
2004,1,9.64,5.14,7.07
2004,2,6.65,6.28,5.49
2004,3,7.39,4.87,5.77
2004,4,11.22,12.35,12.21
2004,5,9.44,12.11,10.52
2004,6,8.69,12.27,9.2
2004,7,18.52,18.87,18.21
2004,8,18.2,17.77,12.36
2004,9,26.84,23.98,25.3
2004,10,5.47,6.88,10.31
2004,11,7.5,8.39,9.17
2004,12,6.83,10.07,8.96
2005,1,13.35,13.35,11.78
2005,2,7.22,4.63,4.19
2005,3,9.63,9.94,12.44
2005,4,3.79,11.58,11.5
2005,5,5.23,2.43,4
2005,6,4.77,9.56,6.66
2005,7,7.57,16.46,12.53
2005,8,7.63,7.15,8.52
2005,9,2.18,1.63,2.07
2005,10,14.35,17.85,18.31
2005,11,10.37,7.58,11.19
2005,12,5.91,6.37,6.03
2006,1,10.81,11.53,11.11
2006,2,3.31,5.79,4.45
2006,3,3.25,1.82,2.75
2006,4,6.62,9.33,8.51
2006,5,4.98,7.83,6.9
2006,6,14.86,33.07,26.7
2006,7,8.32,10.24,11.71
2006,8,8.05,8.63,16.77
2006,9,10.15,10.83,13.56
2006,10,13.22,12.15,9.01
2006,11,7.2,11.24,11.9
2006,12,3.48,5.1,8.38
2007,1,6.89,6.94,7.25
2007,2,5.25,7.45,5
2007,3,8.9,10.33,8.48
2007,4,8.85,10.74,7.84
2007,5,4.02,1.69,7.28
2007,6,6.49,9.54,11.74
2007,7,7.94,10.6,4.33
2007,8,11.95,12.38,8.37
2007,9,4.09,7.31,2.44
2007,10,6.45,9.79,11.42
2007,11,10.07,9.32,13.25
2007,12,10.32,12.99,10.94
2008,1,4.08,2.31,5.33
2008,2,10.4,15.15,13.35
2008,3,14.26,12.44,13.67
2008,4,11.52,7.01,8.69
2008,5,10.77,10.04,9.69
2008,6,9.85,11.36,7.75
2008,7,6.75,10.2,9.19
2008,8,3.72,7.66,6.56
2008,9,12.4,12.93,14.56
2008,10,4.58,6.93,7.1
2008,11,3.71,5.67,4.91
2008,12,12.42,18.9,15.22
2009,1,4.91,4.98,5.55
2009,2,2.65,1.19,2.28
2009,3,3.52,4.87,2.99
2009,4,8.04,9.76,9.12
2009,5,9.1,12.14,18.54
2009,6,10.4,14.74,10.58
2009,7,7.91,8.9,12.27
2009,8,14.76,17.05,10.2
2009,9,5.97,10.36,6.99
2009,10,12.3,13.96,15.92
2009,11,3.34,4.97,5.44
2009,12,9.88,10.16,6.5
2010,1,7.59,3.94,10.55
2010,2,5.5,6.36,4.67
2010,3,10.12,8.37,7.09
2010,4,3.27,6.31,5.82
2010,5,9.72,9.15,4.46
2010,6,5.48,7.82,3.09
2010,7,11.95,11,12.9
2010,8,8.2,7.77,6.3
2010,9,5.96,18.11,7.04
2010,10,11.79,9.23,14.11
2010,11,6.89,8.79,7.17
2010,12,9.21,6.27,6.86
2011,1,2.95,4.39,3.27
2011,2,9.22,7.95,7.97
2011,3,13.21,15.04,15.05
2011,4,14.52,17.23,21.36
2011,5,14.54,11.07,16.74
2011,6,9.33,16.41,7.34
2011,7,6.04,2.66,9.78
2011,8,16.73,24.72,15.47
2011,9,22.57,45.69,48.1
2011,10,12.74,9.13,13.3
2011,11,8.69,11.4,9.18
2011,12,10.5,8.92,10.4
2012,1,7.25,6.24,6.94
2012,2,2.94,4.33,2.11
2012,3,5.97,2.62,5.57
2012,4,3.84,5.83,4.89
2012,5,16.86,14.49,13.68
2012,6,8.49,6.44,7.91
2012,7,8.87,7.54,9.74
2012,8,11.76,11.19,12.19
2012,9,11.42,15.33,13.18
2012,10,13.18,16.96,9.67
2012,11,1.62,3.2,2.47
2012,12,12.3,10.94,10.95
2013,1,7.26,8.35,6.41
2013,2,4.07,4.06,4.25
2013,3,5.16,7.03,3.95
2013,4,9.01,5.46,7.74
2013,5,8.08,5.66,9.68
2013,6,18.64,11.34,17.63
2013,7,15.17,23.35,8.94
2013,8,2.78,10.21,7.68
2013,9,5.38,6.14,5.36
2013,10,7.7,22.07,11.44
2013,11,7.11,6.3,8.45
2013,12,10.05,10.37,8.57
2014,1,3.91,7.57,3.49
2014,2,7.66,9.86,6.35
2014,3,5.94,6.22,6
2014,4,7.59,12.18,9.41
2014,5,14.74,12.44,12.75
2014,6,12.38,10.82,8.36
2014,7,16.76,13.07,10.61
2014,8,17.68,5.45,11.92
2014,9,3.11,3.53,3.07
2014,10,9.26,11.91,7.57
2014,11,4.88,6.62,4.74
2014,12,5.83,8.9,7.79
2015,1,6.32,6.26,3.76
2015,2,3.27,3.39,2.06
2015,3,6.11,9.68,4.57
2015,4,12.68,5.56,6.74
2015,5,3.97,12.34,3.79
2015,6,17.3,19.09,22.87
2015,7,15.46,5.5,13.4
2015,8,7.65,7.97,5
2015,9,9.08,12.33,7.14
2015,10,9.1,13.94,7.73
2015,11,3.5,2.56,5.13
2015,12,9.93,12.3,8.44
2016,1,6.05,9.55,5.75
2016,2,8.2,11.42,11.21
2016,3,3.44,3.34,4.52
2016,4,4.15,7.22,5.11
2016,5,9.78,10.27,7.4
2016,6,4.94,7.77,7.6
2016,7,5.16,9.88,5.76
2016,8,15.58,13.03,7.56
2016,9,7.55,11.71,3.28
2016,10,8.2,3.26,8
2016,11,2.09,6.1,2.78
2016,12,8.05,6.46,6.13
2017,1,7.9,6.34,6.44
2017,2,5.11,3.61,2.13
2017,3,8.74,12.2,6.85
2017,4,10.96,9.11,9.39
2017,5,16.02,13.61,13.13
2017,6,9.66,10.24,6.39
2017,7,12.86,18.76,27.62
2017,8,6.5,25.06,6.19
2017,9,4.76,8.56,2.9
2017,10,16.06,10.81,12.46
2017,11,5.53,5.55,3.71
2017,12,3.1,3.32,3.57
2018,1,6.62,10.96,7.1
2018,2,14.91,14.63,12.32
2018,3,4.92,7.27,5.14
2018,4,9.87,13.69,8.28
2018,5,10.58,14.08,12.76
2018,6,13.74,12.65,11.61
2018,7,23.81,39.15,32.74
2018,8,18.73,30.53,8.53
2018,9,22.86,15.56,20.06
2018,10,10.85,6.23,0.2
2018,11,13.77,21.92,2.18
2018,12,1.56,1.4,0
