Station lat long elev state town a b c d e f
USH00062658  41.9500  -73.3667  167.6 CT FALLS VILLAGE                  ------ ------ ------ +5
USH00063207  41.3506  -72.0394   12.2 CT GROTON                         065309 ------ ------ +5
USH00067970  41.1247  -73.5475   57.9 CT STAMFORD 5 N                   065892 065893 ------ +5
USH00068138  41.7950  -72.2283  198.1 CT STORRS                         ------ ------ ------ +5
USH00072730  39.2583  -75.5167    9.1 DE DOVER                          ------ ------ ------ +5
USH00079605  39.7739  -75.5414   82.3 DE WILMINGTON PORTER RES          079600 ------ ------ +5
USH00170814  45.6603  -69.8120  323.1 ME BRASSUA DAM                    177174 ------ ------ +5
USH00171628  44.9197  -69.2417   90.5 ME CORINNA                        176430 ------ ------ +5
USH00172765  44.6889  -70.1567  128.0 ME FARMINGTON                     ------ ------ ------ +5
USH00173046  44.2203  -69.7889   42.7 ME GARDINER                       ------ ------ ------ +5
USH00173944  46.2061  -67.8417  118.9 ME HOULTON 5N                     173897 ------ ------ +5
USH00176937  46.6539  -68.0089  182.6 ME PRESQUE ISLE                   ------ ------ ------ +5
USH00179891  45.1572  -67.4044   42.7 ME WOODLAND                       ------ ------ ------ +5
USH00180700  39.0303  -76.9314   44.2 MD BELTSVILLE                     181995 ------ ------ +5
USH00182282  39.6419  -78.7561  222.5 MD CUMBERLAND 2                   182280 ------ ------ +5
USH00185111  39.0847  -76.9003  121.9 MD LAUREL 3 W                     ------ ------ ------ +5
USH00186620  39.4133  -79.4000  737.6 MD OAKLAND 1 SE                   ------ ------ ------ +5
USH00187330  38.2122  -75.6822    6.1 MD PRINCESS ANNE                  ------ ------ ------ +5
USH00187806  38.7144  -76.1897    3.0 MD ROYAL OAK 2 SSW                182700 ------ ------ +5
USH00190120  42.3861  -72.5375   45.7 MA AMHERST                        ------ ------ ------ +5
USH00190736  42.2122  -71.1136  192.0 MA BLUE HILL                      ------ ------ ------ +5
USH00194105  42.6992  -71.1658   15.2 MA LAWRENCE                       ------ ------ ------ +5
USH00196486  41.9819  -70.6961   13.7 MA PLYMOUTH-KINGSTON              ------ ------ ------ +5
USH00196783  42.5242  -71.1264   27.4 MA READING                        191447 ------ ------ +5
USH00198757  42.1608  -71.2458   50.3 MA WALPOLE 2                      192975 ------ ------ +5
USH00272174  43.1500  -70.9500   24.4 NH DURHAM                         ------ ------ ------ +5
USH00272999  45.0875  -71.2872  506.0 NH FIRST CONNECTICUT LAKE         ------ ------ ------ +5
USH00273850  43.7031  -72.2847  183.8 NH HANOVER                        ------ ------ ------ +5
USH00274399  42.9389  -72.3244  158.5 NH KEENE                          ------ ------ ------ +5
USH00280734  40.8292  -75.0836   80.2 NJ BELVIDERE BRG                  280729 ------ ------ +5
USH00280907  40.9000  -74.4000   85.3 NJ BOONTON 1 SE                   ------ ------ ------ +5
USH00281582  41.0347  -74.4233  231.6 NJ CHARLOTTEBURG RSVR             ------ ------ ------ +5
USH00283029  40.5631  -74.8831   79.2 NJ FLEMINGTON 5 NNW               ------ ------ ------ +5
USH00283951  40.2650  -74.5642   30.5 NJ HIGHTSTOWN 2 W                 ------ ------ ------ +5
USH00284229  39.8144  -74.7883   30.5 NJ INDIAN MILLS 2 W               ------ ------ ------ +5
USH00284987  40.2797  -74.0047    9.1 NJ LONG BRANCH OAKHURST           ------ ------ ------ +5
USH00286055  40.4719  -74.4364   26.2 NJ NEW BRUNSWICK 3 SE             286062 ------ ------ +5
USH00300023  42.1014  -77.2344  304.5 NY ADDISON                        ------ ------ ------ +5
USH00300085  42.2614  -77.7850  539.5 NY ALFRED                         ------ ------ ------ +5
USH00300093  42.1003  -78.7500  457.2 NY ALLEGANY SP                    ------ ------ ------ +5
USH00300183  42.3017  -77.9889  440.4 NY ANGELICA                       ------ ------ ------ +5
USH00300321  42.9328  -76.5447  234.7 NY AUBURN                         ------ ------ ------ +5
USH00300443  43.0303  -78.1692  278.3 NY BATAVIA                        ------ ------ ------ +5
USH00300889  40.9464  -72.3067   18.3 NY BRIDGEHAMPTON                  ------ ------ ------ +5
USH00301752  42.7167  -74.9267  383.1 NY COOPERSTOWN                    ------ ------ ------ +5
USH00301966  44.7192  -73.7206  408.4 NY DANNEMORA                      ------ ------ ------ +5
USH00301974  42.5656  -77.7175  201.2 NY DANSVILLE                      ------ ------ ------ +5
USH00302610  42.0997  -76.8358  288.6 NY ELMIRA                         ------ ------ ------ +5
USH00303184  42.8767  -77.0308  218.8 NY GENEVA RSCH FARM               303177 ------ ------ +5
USH00303773  42.7747  -77.6083  274.9 NY HEMLOCK                        ------ ------ ------ +5
USH00304102  43.7550  -74.2692  506.0 NY INDIAN LAKE 2SW                ------ ------ ------ +5
USH00304174  42.4489  -76.4489  292.6 NY ITHACA CORNELL UNIV            304178 ------ ------ +5
USH00304791  43.0603  -74.8686  274.3 NY LITTLE FALLS CITY RSVR         ------ ------ ------ +5
USH00304912  43.7975  -75.4817  262.1 NY LOWVILLE                       ------ ------ ------ +5
USH00304996  44.8419  -74.3081  268.2 NY MALONE                         301387 ------ ------ +5
USH00305113  42.4694  -75.0106  373.4 NY MARYLAND 9 SW                  306224 306232 ------ +5
